        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.50934	             0.50934	             0.00000	
               0.100	             0.69611	             0.69509	            10.85245	
               0.110	             0.64297	             0.64223	            11.02997	
               0.120	             0.69883	             0.69776	            13.07302	
               0.130	             0.80837	             0.80667	            16.37307	
               0.140	             0.76018	             0.75885	            16.58722	
               0.150	             0.72531	             0.72406	            16.95718	
               0.160	             0.83182	             0.83013	            20.73751	
               0.170	             0.90035	             0.89854	            23.84938	
               0.180	             0.84448	             0.84293	            23.68950	
               0.190	             1.15167	             1.14821	            34.06145	
               0.200	             1.47588	             1.47092	            45.93131	
               0.210	             1.62834	             1.62234	            53.19264	
               0.220	             1.71794	             1.71122	            58.77859	
               0.230	             1.65925	             1.65201	            59.32411	
               0.240	             1.58150	             1.57470	            59.00635	
               0.250	             1.49137	             1.48655	            58.02426	
               0.260	             1.30012	             1.29573	            52.59916	
               0.270	             1.22761	             1.22306	            51.55846	
               0.280	             1.28836	             1.28360	            56.11490	
               0.290	             1.21485	             1.20996	            54.78463	
               0.300	             1.29180	             1.28563	            60.21801	
               0.310	             1.38666	             1.37995	            66.79026	
               0.320	             1.29646	             1.28990	            64.44600	
               0.330	             1.17090	             1.16561	            60.05622	
               0.340	             1.11405	             1.10914	            58.87808	
               0.350	             1.03294	             1.02827	            56.19090	
               0.360	             1.05657	             1.05334	            59.20506	
               0.370	             1.15254	             1.14862	            66.35380	
               0.380	             1.24272	             1.23823	            73.46419	
               0.390	             1.38705	             1.38187	            84.14390	
               0.400	             1.60326	             1.59768	            99.77903	
               0.410	             1.85444	             1.84702	           118.23484	
               0.420	             2.05891	             2.04922	           134.37758	
               0.430	             2.15925	             2.14997	           144.34101	
               0.440	             2.15526	             2.14585	           147.41500	
               0.450	             2.23181	             2.22269	           156.16400	
               0.460	             2.26485	             2.25492	           161.94878	
               0.470	             2.25747	             2.24720	           164.90285	
               0.480	             2.22134	             2.20940	           165.57869	
               0.490	             2.15047	             2.13969	           163.69531	
               0.500	             2.03361	             2.02295	           157.92242	
               0.510	             1.88429	             1.87517	           149.31353	
               0.520	             1.71420	             1.70571	           138.48331	
               0.530	             1.54195	             1.53339	           126.88751	
               0.540	             1.37977	             1.37085	           115.57775	
               0.550	             1.23253	             1.22583	           105.26465	
               0.560	             1.10228	             1.09493	            95.73384	
               0.570	             0.98190	             0.97568	            86.83077	
               0.580	             0.91983	             0.91554	            82.90741	
               0.590	             0.87871	             0.87456	            80.56246	
               0.600	             0.85016	             0.84538	            79.19418	
               0.610	             0.83292	             0.82827	            78.88456	
               0.620	             0.80666	             0.80117	            77.55396	
