        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.31481	             0.31481	             0.00000	
               0.100	             0.42594	             0.42512	             6.63737	
               0.110	             0.50552	             0.50383	             8.65306	
               0.120	             0.53797	             0.53640	            10.04981	
               0.130	             0.70757	             0.70461	            14.30145	
               0.140	             0.82579	             0.82250	            17.97860	
               0.150	             0.75967	             0.75699	            17.72834	
               0.160	             0.93100	             0.92758	            23.17197	
               0.170	             0.87426	             0.87126	            23.12520	
               0.180	             0.73666	             0.73425	            20.63507	
               0.190	             0.65792	             0.65528	            19.43891	
               0.200	             0.61363	             0.61121	            19.08572	
               0.210	             0.62660	             0.62446	            20.47445	
               0.220	             0.69789	             0.69545	            23.88794	
               0.230	             0.74876	             0.74589	            26.78506	
               0.240	             0.73331	             0.73084	            27.38558	
               0.250	             0.71248	             0.70925	            27.68414	
               0.260	             0.71964	             0.71567	            29.05183	
               0.270	             0.72622	             0.72414	            30.52632	
               0.280	             0.70829	             0.70542	            30.83856	
               0.290	             0.68046	             0.67767	            30.68338	
               0.300	             0.65649	             0.65313	            30.59223	
               0.310	             0.72465	             0.72106	            34.89966	
               0.320	             0.80371	             0.79960	            39.94953	
               0.330	             0.86731	             0.86289	            44.45909	
               0.340	             0.91595	             0.91224	            48.42577	
               0.350	             0.97453	             0.97048	            53.03297	
               0.360	             0.97745	             0.97330	            54.70641	
               0.370	             0.93621	             0.93245	            53.86619	
               0.380	             0.83900	             0.83451	            49.51117	
               0.390	             0.83434	             0.83091	            50.59500	
               0.400	             0.85351	             0.85040	            53.10955	
               0.410	             0.86745	             0.86427	            55.32506	
               0.420	             0.87889	             0.87549	            57.41032	
               0.430	             0.89073	             0.88715	            59.56007	
               0.440	             0.90357	             0.89975	            61.81058	
               0.450	             0.91527	             0.91108	            64.01179	
               0.460	             0.92294	             0.91857	            65.97196	
               0.470	             0.92497	             0.92112	            67.59301	
               0.480	             0.94271	             0.93722	            70.23768	
               0.490	             1.00107	             0.99669	            76.25120	
               0.500	             1.03354	             1.02899	            80.32895	
               0.510	             1.01280	             1.00792	            80.25742	
               0.520	             0.94226	             0.93771	            76.13130	
               0.530	             0.90628	             0.90231	            74.66611	
               0.540	             0.90608	             0.90196	            76.04464	
               0.550	             0.91463	             0.91021	            78.16140	
               0.560	             0.93642	             0.93196	            81.48449	
               0.570	             0.95709	             0.95223	            84.74358	
               0.580	             0.97315	             0.96814	            87.67070	
               0.590	             0.97766	             0.97246	            89.58026	
               0.600	             0.97199	             0.96648	            90.53848	
               0.610	             0.99500	             0.98920	            94.21161	
               0.620	             1.03091	             1.02482	            99.20399	
               0.630	             1.03066	             1.02454	           100.77619	
               0.640	             1.04764	             1.04150	           104.07068	
               0.650	             1.04096	             1.03494	           105.03115	
               0.660	             1.01928	             1.01364	           104.45248	
               0.670	             1.01122	             1.00562	           105.19587	
               0.680	             0.98685	             0.98132	           104.18581	
               0.690	             0.94849	             0.94306	           101.59595	
               0.700	             0.89829	             0.89298	            97.59592	
