        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.35133	             0.35133	             0.00000	
               0.100	             0.60962	             0.60815	             9.49516	
               0.110	             0.56242	             0.56100	             9.63479	
               0.120	             0.56809	             0.56669	            10.61731	
               0.130	             0.65491	             0.65274	            13.24875	
               0.140	             0.74368	             0.74140	            16.20588	
               0.150	             0.70600	             0.70343	            16.47416	
               0.160	             0.67907	             0.67660	            16.90220	
               0.170	             0.57116	             0.56906	            15.10406	
               0.180	             0.68008	             0.67753	            19.04111	
               0.190	             0.65551	             0.65338	            19.38233	
               0.200	             0.61962	             0.61796	            19.29649	
               0.210	             0.71618	             0.71327	            23.38648	
               0.220	             0.75811	             0.75525	            25.94207	
               0.230	             0.75898	             0.75653	            27.16717	
               0.240	             0.85368	             0.85102	            31.88905	
               0.250	             1.13525	             1.13118	            44.15307	
               0.260	             1.29790	             1.29080	            52.39903	
               0.270	             1.22675	             1.22119	            51.47986	
               0.280	             0.99341	             0.98804	            43.19367	
               0.290	             0.86634	             0.86196	            39.02795	
               0.300	             0.79730	             0.79349	            37.16670	
               0.310	             0.72849	             0.72474	            35.07808	
               0.320	             0.75899	             0.75505	            37.72400	
               0.330	             0.79038	             0.78643	            40.51930	
               0.340	             0.78777	             0.78431	            41.63460	
               0.350	             0.79664	             0.79284	            43.32523	
               0.360	             0.79873	             0.79450	            44.65653	
               0.370	             0.79273	             0.78897	            45.57768	
               0.380	             0.77997	             0.77586	            46.03149	
               0.390	             0.76105	             0.75659	            46.06942	
               0.400	             0.73622	             0.73193	            45.71113	
               0.410	             0.70446	             0.70075	            44.85768	
               0.420	             0.66598	             0.66205	            43.41401	
               0.430	             0.62385	             0.61990	            41.61784	
               0.440	             0.62909	             0.62573	            42.98588	
               0.450	             0.65446	             0.65116	            45.74985	
               0.460	             0.66104	             0.65799	            47.25712	
               0.470	             0.65032	             0.64712	            47.48669	
               0.480	             0.64436	             0.64084	            48.02614	
               0.490	             0.68005	             0.67678	            51.77650	
               0.500	             0.73335	             0.72972	            56.96631	
               0.510	             0.75615	             0.75222	            59.89700	
               0.520	             0.73876	             0.73480	            59.65735	
               0.530	             0.69956	             0.69604	            57.59665	
               0.540	             0.65061	             0.64732	            54.57632	
               0.550	             0.59942	             0.59614	            51.19207	
               0.560	             0.54973	             0.54677	            47.80569	
               0.570	             0.50262	             0.49983	            44.48233	
               0.580	             0.45777	             0.45514	            41.21538	
               0.590	             0.41863	             0.41633	            38.35145	
               0.600	             0.38708	             0.38495	            36.06127	
               0.610	             0.35890	             0.35690	            33.99160	
               0.620	             0.33501	             0.33315	            32.24922	
               0.630	             0.31667	             0.31490	            30.97445	
               0.640	             0.30500	             0.30329	            30.30549	
               0.650	             0.29987	             0.29819	            30.26198	
               0.660	             0.30047	             0.29880	            30.79034	
               0.670	             0.30507	             0.30334	            31.73213	
               0.680	             0.31110	             0.30923	            32.83103	
               0.690	             0.31763	             0.31552	            33.99150	
               0.700	             0.33059	             0.32860	            35.91358	
               0.710	             0.34042	             0.33846	            37.51970	
               0.720	             0.34592	             0.34386	            38.65472	
               0.730	             0.34606	             0.34406	            39.21419	
               0.740	             0.34141	             0.33953	            39.22776	
               0.750	             0.35198	             0.34978	            40.95838	
               0.760	             0.35715	             0.35468	            42.08669	
               0.770	             0.35654	             0.35400	            42.55799	
               0.780	             0.35092	             0.34880	            42.47826	
               0.790	             0.35725	             0.35504	            43.79159	
               0.800	             0.35925	             0.35694	            44.58310	
               0.810	             0.35710	             0.35468	            44.85528	
               0.820	             0.35098	             0.34849	            44.61634	
               0.830	             0.34113	             0.33861	            43.88072	
               0.840	             0.32792	             0.32537	            42.67268	
               0.850	             0.31169	             0.30915	            41.02811	
               0.860	             0.29284	             0.29041	            38.99439	
               0.870	             0.27187	             0.26968	            36.63213	
               0.880	             0.26569	             0.26414	            36.29220	
               0.890	             0.26045	             0.25884	            35.96806	
               0.900	             0.25824	             0.25732	            36.15874	
               0.910	             0.25774	             0.25680	            36.48594	
               0.920	             0.25733	             0.25632	            36.81744	
               0.930	             0.25690	             0.25580	            37.14300	
               0.940	             0.25642	             0.25520	            37.45328	
               0.950	             0.25575	             0.25444	            37.74032	
               0.960	             0.25485	             0.25347	            37.99087	
               0.970	             0.25371	             0.25223	            38.19996	
               0.980	             0.25231	             0.25073	            38.36341	
               0.990	             0.25060	             0.24895	            38.48085	
               1.000	             0.24857	             0.24686	            38.54298	
               1.010	             0.24620	             0.24444	            38.54688	
               1.020	             0.24350	             0.24169	            38.49024	
               1.030	             0.24046	             0.23861	            38.37139	
               1.040	             0.23713	             0.23519	            38.18932	
               1.050	             0.23348	             0.23149	            37.95061	
               1.060	             0.22952	             0.22750	            37.65054	
               1.070	             0.22525	             0.22321	            37.28976	
               1.080	             0.22071	             0.21865	            36.86924	
               1.090	             0.21594	             0.21383	            36.39015	
               1.100	             0.21098	             0.20881	            35.86184	
               1.110	             0.20578	             0.20362	            35.28899	
               1.120	             0.20411	             0.20242	            35.39660	
               1.130	             0.20338	             0.20162	            35.57063	
               1.140	             0.20242	             0.20071	            35.72499	
               1.150	             0.20139	             0.19963	            35.84293	
               1.160	             0.20017	             0.19845	            35.94201	
               1.170	             0.19890	             0.19713	            36.01065	
               1.180	             0.19747	             0.19574	            36.06243	
               1.190	             0.19600	             0.19424	            36.08823	
               1.200	             0.19442	             0.19268	            36.10015	
               1.210	             0.19279	             0.19103	            36.08883	
               1.220	             0.19109	             0.18935	            36.06747	
               1.230	             0.18934	             0.18758	            36.02362	
               1.240	             0.18755	             0.18582	            35.97448	
