        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.21884	             0.21884	             0.00000	
               0.100	             0.27126	             0.27100	             4.23109	
               0.110	             0.32688	             0.32636	             5.60505	
               0.120	             0.36223	             0.36088	             6.76130	
               0.130	             0.44720	             0.44567	             9.04583	
               0.140	             0.49993	             0.49801	            10.88574	
               0.150	             0.59540	             0.59350	            13.89969	
               0.160	             0.70581	             0.70313	            17.56482	
               0.170	             0.77421	             0.77084	            20.45982	
               0.180	             0.64255	             0.63956	            17.97394	
               0.190	             0.70245	             0.69948	            20.74992	
               0.200	             0.67102	             0.66745	            20.84188	
               0.210	             0.49721	             0.49447	            16.21232	
               0.220	             0.44391	             0.44180	            15.17521	
               0.230	             0.41770	             0.41553	            14.92188	
               0.240	             0.32688	             0.32538	            12.19263	
               0.250	             0.28771	             0.28660	            11.18669	
               0.260	             0.32485	             0.32320	            13.12019	
               0.270	             0.35435	             0.35226	            14.84964	
               0.280	             0.32976	             0.32810	            14.34366	
               0.290	             0.27883	             0.27715	            12.54887	
               0.300	             0.24873	             0.24732	            11.58438	
               0.310	             0.25450	             0.25304	            12.24735	
               0.320	             0.23182	             0.23053	            11.51759	
               0.330	             0.20905	             0.20798	            10.71584	
               0.340	             0.20493	             0.20382	            10.81955	
               0.350	             0.19120	             0.19027	            10.39772	
               0.360	             0.20300	             0.20210	            11.35954	
               0.370	             0.20905	             0.20801	            12.01663	
               0.380	             0.20540	             0.20439	            12.12671	
               0.390	             0.19629	             0.19551	            11.90476	
               0.400	             0.19210	             0.19100	            11.92841	
               0.410	             0.18247	             0.18129	            11.60507	
               0.420	             0.19263	             0.19164	            12.56648	
               0.430	             0.21810	             0.21682	            14.55655	
               0.440	             0.23988	             0.23841	            16.37797	
               0.450	             0.24747	             0.24599	            17.28276	
               0.460	             0.24140	             0.24021	            17.25225	
               0.470	             0.22754	             0.22658	            16.62696	
               0.480	             0.21920	             0.21850	            16.37509	
               0.490	             0.21621	             0.21526	            16.46851	
               0.500	             0.21490	             0.21396	            16.70295	
               0.510	             0.21535	             0.21437	            17.06991	
               0.520	             0.21840	             0.21731	            17.64261	
               0.530	             0.22328	             0.22209	            18.37812	
               0.540	             0.22656	             0.22519	            18.98617	
               0.550	             0.22463	             0.22318	            19.16482	
               0.560	             0.21553	             0.21411	            18.71994	
               0.570	             0.19918	             0.19794	            17.61586	
               0.580	             0.17801	             0.17707	            16.03474	
               0.590	             0.15651	             0.15578	            14.35049	
               0.600	             0.13926	             0.13866	            12.98971	
               0.610	             0.13278	             0.13180	            12.55293	
               0.620	             0.13274	             0.13173	            12.75178	
               0.630	             0.13311	             0.13241	            13.02412	
               0.640	             0.13962	             0.13888	            13.87787	
               0.650	             0.14572	             0.14511	            14.72606	
               0.660	             0.15052	             0.15009	            15.46577	
               0.670	             0.15567	             0.15495	            16.20939	
               0.680	             0.16046	             0.15975	            16.96031	
               0.690	             0.16135	             0.16059	            17.30084	
               0.700	             0.16225	             0.16086	            17.58089	
               0.710	             0.16702	             0.16556	            18.35294	
               0.720	             0.16998	             0.16848	            18.93943	
               0.730	             0.17068	             0.16917	            19.28172	
               0.740	             0.16878	             0.16730	            19.32899	
               0.750	             0.16418	             0.16293	            19.07872	
               0.760	             0.15734	             0.15640	            18.55858	
               0.770	             0.15586	             0.15535	            18.67677	
               0.780	             0.17020	             0.16953	            20.64533	
               0.790	             0.18288	             0.18200	            22.44843	
               0.800	             0.19232	             0.19137	            23.90325	
               0.810	             0.19825	             0.19722	            24.94191	
               0.820	             0.20091	             0.19979	            25.57856	
