        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.50275	             0.50275	             0.00000	
               0.100	             0.69178	             0.69083	            10.78603	
               0.110	             0.81279	             0.81138	            13.93496	
               0.120	             0.84471	             0.84283	            15.79109	
               0.130	             0.86263	             0.86068	            17.46932	
               0.140	             0.90779	             0.90528	            19.78802	
               0.150	             0.93762	             0.93506	            21.89888	
               0.160	             0.78016	             0.77756	            19.42413	
               0.170	             0.82148	             0.81919	            21.74310	
               0.180	             1.07499	             1.07061	            30.08804	
               0.190	             1.06251	             1.05843	            31.39833	
               0.200	             1.06409	             1.06036	            33.11111	
               0.210	             1.06039	             1.05657	            34.64222	
               0.220	             1.12256	             1.11814	            38.40674	
               0.230	             1.12042	             1.11562	            40.06225	
               0.240	             1.04447	             1.04035	            38.98340	
               0.250	             1.05846	             1.05459	            41.16368	
               0.260	             0.98641	             0.98242	            39.88040	
               0.270	             0.92844	             0.92520	            39.00228	
               0.280	             0.99853	             0.99408	            43.45794	
               0.290	             1.06695	             1.06266	            48.11507	
               0.300	             1.05394	             1.04970	            49.16736	
               0.310	             0.99612	             0.99213	            48.01982	
               0.320	             0.95414	             0.95025	            47.47649	
               0.330	             0.85515	             0.85151	            43.87243	
               0.340	             0.81118	             0.80817	            42.90119	
               0.350	             0.91853	             0.91531	            50.01794	
               0.360	             0.97727	             0.97387	            54.73851	
               0.370	             1.00547	             1.00155	            57.85832	
               0.380	             1.04011	             1.03642	            61.49042	
               0.390	             1.11109	             1.10662	            67.38307	
               0.400	             1.21449	             1.20928	            75.52246	
               0.410	             1.35609	             1.35092	            86.47739	
               0.420	             1.46496	             1.45911	            95.68144	
               0.430	             1.52121	             1.51459	           101.68392	
               0.440	             1.52633	             1.51982	           104.40829	
               0.450	             1.52324	             1.51680	           106.56875	
               0.460	             1.50360	             1.49620	           107.45763	
               0.470	             1.44394	             1.43629	           105.39715	
