        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.14990	             0.14990	             0.00000	
               0.100	             0.24083	             0.24032	             3.75217	
               0.110	             0.33611	             0.33509	             5.75494	
               0.120	             0.34795	             0.34668	             6.49530	
               0.130	             0.34691	             0.34583	             7.01936	
               0.140	             0.37413	             0.37304	             8.15408	
               0.150	             0.43726	             0.43569	            10.20382	
               0.160	             0.37216	             0.37067	             9.25968	
               0.170	             0.35269	             0.35125	             9.32308	
               0.180	             0.33094	             0.32961	             9.26317	
               0.190	             0.34318	             0.34159	            10.13316	
               0.200	             0.37003	             0.36831	            11.50107	
               0.210	             0.32326	             0.32186	            10.55307	
               0.220	             0.35754	             0.35592	            12.22558	
               0.230	             0.36192	             0.36037	            12.94109	
               0.240	             0.34034	             0.33884	            12.69668	
               0.250	             0.35798	             0.35587	            13.89055	
               0.260	             0.40870	             0.40650	            16.50160	
               0.270	             0.40188	             0.39984	            16.85548	
               0.280	             0.36150	             0.35973	            15.72618	
               0.290	             0.33474	             0.33306	            15.08033	
               0.300	             0.29534	             0.29374	            13.75839	
               0.310	             0.23603	             0.23491	            11.36984	
               0.320	             0.23276	             0.23181	            11.58185	
               0.330	             0.23668	             0.23579	            12.14873	
               0.340	             0.24901	             0.24751	            13.13881	
               0.350	             0.26172	             0.26051	            14.23604	
               0.360	             0.27408	             0.27278	            15.33220	
               0.370	             0.26884	             0.26751	            15.45374	
               0.380	             0.27356	             0.27230	            16.15545	
               0.390	             0.26535	             0.26397	            16.07364	
               0.400	             0.24839	             0.24698	            15.42471	
               0.410	             0.22970	             0.22840	            14.62053	
               0.420	             0.21108	             0.20989	            13.76381	
               0.430	             0.19981	             0.19897	            13.35786	
               0.440	             0.19331	             0.19249	            13.22366	
               0.450	             0.18833	             0.18761	            13.18118	
               0.460	             0.18525	             0.18439	            13.24321	
               0.470	             0.18281	             0.18200	            13.35531	
               0.480	             0.18036	             0.17957	            13.45728	
               0.490	             0.17815	             0.17729	            13.56315	
               0.500	             0.17656	             0.17573	            13.71881	
               0.510	             0.17590	             0.17505	            13.93906	
               0.520	             0.17599	             0.17511	            14.21658	
               0.530	             0.17623	             0.17536	            14.51082	
               0.540	             0.17625	             0.17535	            14.78369	
               0.550	             0.17574	             0.17477	            15.00803	
               0.560	             0.17482	             0.17392	            15.20637	
               0.570	             0.17373	             0.17277	            15.37526	
               0.580	             0.17266	             0.17175	            15.55317	
               0.590	             0.17197	             0.17101	            15.75340	
               0.600	             0.17189	             0.17096	            16.01506	
               0.610	             0.17252	             0.17158	            16.34114	
               0.620	             0.17397	             0.17303	            16.74932	
               0.630	             0.17584	             0.17491	            17.20489	
               0.640	             0.17798	             0.17703	            17.68974	
               0.650	             0.18009	             0.17916	            18.18213	
               0.660	             0.18204	             0.18113	            18.66484	
               0.670	             0.18382	             0.18292	            19.13480	
               0.680	             0.18544	             0.18454	            19.59217	
               0.690	             0.18688	             0.18604	            20.04263	
               0.700	             0.18820	             0.18739	            20.48045	
               0.710	             0.18930	             0.18856	            20.90197	
