        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.51202	             0.51202	             0.00000	
               0.100	             0.63265	             0.63035	             9.84178	
               0.110	             0.61585	             0.61418	            10.54822	
               0.120	             0.65989	             0.65820	            12.33193	
               0.130	             0.70941	             0.70788	            14.36780	
               0.140	             0.71085	             0.70909	            15.49945	
               0.150	             0.73052	             0.72863	            17.06425	
               0.160	             0.75384	             0.75159	            18.77551	
               0.170	             0.77343	             0.77093	            20.46224	
               0.180	             0.80230	             0.80026	            22.49018	
               0.190	             0.78115	             0.77922	            23.11557	
               0.200	             0.73803	             0.73671	            23.00458	
               0.210	             0.73288	             0.73162	            23.98802	
               0.220	             0.75620	             0.75483	            25.92764	
               0.230	             0.81063	             0.80881	            29.04433	
               0.240	             0.83868	             0.83661	            31.34915	
               0.250	             0.98951	             0.98375	            38.39856	
               0.260	             0.96241	             0.95664	            38.83376	
               0.270	             0.89920	             0.89694	            37.81105	
               0.280	             0.87760	             0.87262	            38.14809	
               0.290	             0.84683	             0.84197	            38.12252	
               0.300	             0.78987	             0.78615	            36.82292	
               0.310	             0.76913	             0.76532	            37.04198	
               0.320	             0.77346	             0.77087	            38.51413	
               0.330	             0.78591	             0.78315	            40.35070	
               0.340	             0.79006	             0.78729	            41.79319	
               0.350	             0.82589	             0.82287	            44.96667	
               0.360	             0.88937	             0.88614	            49.80760	
               0.370	             0.93676	             0.93336	            53.91892	
               0.380	             0.97490	             0.97117	            57.61906	
               0.390	             1.00878	             1.00484	            61.18615	
               0.400	             1.02084	             1.01618	            63.46294	
               0.410	             1.00762	             1.00385	            64.26039	
               0.420	             0.98100	             0.97682	            64.05481	
               0.430	             0.93609	             0.93170	            62.55071	
               0.440	             0.87680	             0.87300	            59.97295	
               0.450	             0.83206	             0.82849	            58.20885	
               0.460	             0.83453	             0.83150	            59.71857	
               0.470	             0.86909	             0.86558	            63.51796	
               0.480	             0.89998	             0.89649	            67.18560	
               0.490	             0.90996	             0.90587	            69.30327	
               0.500	             0.89580	             0.89197	            69.63233	
               0.510	             0.87186	             0.86791	            69.10875	
               0.520	             0.85425	             0.85087	            69.08080	
               0.530	             0.85089	             0.84691	            70.08104	
               0.540	             0.86132	             0.85756	            72.30187	
               0.550	             0.87586	             0.87170	            74.85475	
               0.560	             0.88284	             0.87852	            76.81162	
               0.570	             0.88799	             0.88394	            78.66562	
               0.580	             0.90177	             0.89733	            81.25844	
               0.590	             0.91774	             0.91299	            84.10250	
               0.600	             0.92643	             0.92149	            86.32437	
               0.610	             0.92429	             0.91926	            87.54996	
               0.620	             0.91127	             0.90600	            87.70243	
               0.630	             0.88823	             0.88298	            86.85203	
               0.640	             0.85813	             0.85292	            85.22752	
               0.650	             0.82237	             0.81730	            82.94430	
               0.660	             0.78111	             0.77632	            79.99758	
               0.670	             0.73783	             0.73348	            76.72763	
               0.680	             0.70333	             0.69979	            74.29606	
               0.690	             0.68164	             0.67836	            73.08019	
               0.700	             0.66831	             0.66504	            72.68374	
               0.710	             0.66095	             0.65766	            72.90412	
               0.720	             0.65734	             0.65399	            73.51809	
               0.730	             0.65656	             0.65312	            74.43961	
               0.740	             0.65757	             0.65436	            75.60298	
               0.750	             0.65826	             0.65483	            76.67948	
               0.760	             0.65488	             0.65156	            77.31437	
               0.770	             0.65278	             0.64987	            78.12758	
               0.780	             0.66151	             0.65843	            80.18472	
               0.790	             0.66405	             0.66079	            81.50479	
               0.800	             0.66221	             0.65871	            82.27638	
               0.810	             0.65778	             0.65418	            82.73156	
               0.820	             0.65236	             0.64877	            83.06022	
               0.830	             0.64685	             0.64326	            83.35991	
               0.840	             0.64135	             0.63771	            83.63628	
               0.850	             0.63532	             0.63161	            83.82157	
               0.860	             0.62806	             0.62435	            83.83270	
               0.870	             0.61902	             0.61534	            83.58390	
               0.880	             0.60763	             0.60398	            82.98410	
               0.890	             0.59349	             0.58984	            81.96216	
               0.900	             0.57649	             0.57318	            80.54228	
               0.910	             0.55696	             0.55387	            78.69363	
               0.920	             0.53518	             0.53237	            76.46974	
               0.930	             0.52176	             0.51882	            75.33345	
               0.940	             0.50977	             0.50688	            74.39188	
               0.950	             0.49632	             0.49347	            73.19308	
               0.960	             0.48208	             0.47926	            71.83427	
               0.970	             0.46835	             0.46563	            70.51822	
               0.980	             0.45587	             0.45323	            69.34797	
               0.990	             0.44503	             0.44248	            68.39477	
               1.000	             0.43590	             0.43355	            67.69079	
               1.010	             0.42844	             0.42616	            67.20287	
               1.020	             0.42227	             0.42002	            66.88967	
               1.030	             0.41696	             0.41480	            66.70641	
               1.040	             0.41308	             0.41103	            66.74100	
               1.050	             0.41238	             0.41022	            67.25010	
               1.060	             0.41084	             0.40855	            67.61538	
               1.070	             0.40796	             0.40556	            67.75375	
               1.080	             0.40360	             0.40111	            67.63629	
               1.090	             0.39785	             0.39531	            67.27525	
               1.100	             0.39090	             0.38833	            66.69430	
               1.110	             0.38286	             0.38028	            65.90466	
               1.120	             0.37375	             0.37116	            64.90296	
               1.130	             0.36357	             0.36099	            63.68883	
               1.140	             0.35245	             0.34995	            62.28685	
               1.150	             0.34084	             0.33839	            60.75758	
               1.160	             0.32926	             0.32683	            59.19265	
               1.170	             0.31830	             0.31597	            57.71949	
               1.180	             0.30860	             0.30626	            56.42366	
               1.190	             0.30045	             0.29817	            55.39848	
               1.200	             0.29393	             0.29170	            54.65158	
               1.210	             0.28890	             0.28670	            54.16290	
               1.220	             0.28509	             0.28287	            53.88125	
               1.230	             0.28196	             0.27977	            53.72818	
               1.240	             0.27907	             0.27690	            53.60862	
               1.250	             0.27609	             0.27394	            53.46308	
               1.260	             0.27260	             0.27052	            53.21745	
               1.270	             0.26848	             0.26643	            52.82973	
               1.280	             0.26360	             0.26161	            52.28233	
               1.290	             0.25795	             0.25603	            51.56681	
               1.300	             0.25160	             0.24972	            50.68568	
               1.310	             0.24464	             0.24279	            49.65876	
               1.320	             0.23731	             0.23548	            48.53029	
               1.330	             0.22975	             0.22794	            47.33353	
               1.340	             0.22225	             0.22046	            46.12422	
               1.350	             0.21501	             0.21324	            44.94694	
               1.360	             0.20828	             0.20656	            43.85983	
               1.370	             0.20224	             0.20055	            42.89652	
               1.380	             0.19698	             0.19531	            42.08258	
               1.390	             0.19254	             0.19090	            41.42982	
               1.400	             0.18890	             0.18727	            40.93485	
               1.410	             0.18595	             0.18434	            40.58172	
               1.420	             0.18358	             0.18198	            40.34589	
               1.430	             0.18164	             0.18005	            40.19880	
               1.440	             0.17999	             0.17841	            40.11222	
               1.450	             0.17853	             0.17696	            40.06186	
               1.460	             0.17717	             0.17561	            40.02989	
               1.470	             0.17587	             0.17431	            40.00610	
               1.480	             0.17462	             0.17305	            39.98775	
               1.490	             0.17343	             0.17185	            39.97837	
               1.500	             0.17233	             0.17075	            39.98829	
               1.510	             0.17135	             0.16978	            40.02744	
               1.520	             0.17055	             0.16898	            40.10294	
               1.530	             0.16994	             0.16838	            40.22249	
               1.540	             0.16954	             0.16798	            40.39040	
               1.550	             0.16936	             0.16779	            40.60688	
               1.560	             0.16938	             0.16781	            40.87192	
               1.570	             0.16956	             0.16799	            41.17779	
               1.580	             0.16985	             0.16828	            41.51143	
               1.590	             0.17020	             0.16863	            41.86129	
               1.600	             0.17061	             0.16903	            42.22607	
               1.610	             0.17099	             0.16941	            42.58413	
               1.620	             0.17132	             0.16975	            42.93465	
               1.630	             0.17159	             0.17001	            43.26601	
               1.640	             0.17176	             0.17020	            43.58071	
               1.650	             0.17185	             0.17029	            43.87048	
               1.660	             0.17183	             0.17030	            44.13666	
               1.670	             0.17170	             0.17021	            44.38055	
               1.680	             0.17146	             0.17004	            44.60075	
               1.690	             0.17109	             0.16976	            44.79391	
               1.700	             0.17060	             0.16939	            44.96046	
               1.710	             0.17001	             0.16891	            45.09549	
               1.720	             0.16932	             0.16829	            45.19453	
               1.730	             0.16846	             0.16754	            45.25410	
               1.740	             0.16746	             0.16662	            45.26627	
               1.750	             0.16633	             0.16550	            45.21898	
               1.760	             0.16502	             0.16416	            45.10933	
               1.770	             0.16344	             0.16261	            44.93662	
               1.780	             0.16162	             0.16084	            44.70011	
               1.790	             0.15960	             0.15886	            44.39691	
               1.800	             0.15743	             0.15667	            44.02979	
               1.810	             0.15652	             0.15532	            43.89348	
               1.820	             0.15533	             0.15427	            43.83842	
               1.830	             0.15574	             0.15311	            43.74754	
               1.840	             0.15601	             0.15334	            44.05153	
               1.850	             0.15598	             0.15326	            44.26924	
               1.860	             0.15568	             0.15295	            44.41588	
               1.870	             0.15516	             0.15243	            44.50556	
               1.880	             0.15448	             0.15175	            44.54402	
               1.890	             0.15370	             0.15098	            44.55105	
               1.900	             0.15288	             0.15016	            44.54443	
               1.910	             0.15205	             0.14933	            44.53204	
               1.920	             0.15126	             0.14854	            44.52788	
               1.930	             0.15054	             0.14782	            44.54440	
               1.940	             0.14993	             0.14724	            44.59829	
               1.950	             0.14946	             0.14678	            44.68886	
               1.960	             0.14912	             0.14646	            44.82050	
               1.970	             0.14893	             0.14629	            44.99470	
               1.980	             0.14887	             0.14625	            45.21023	
               1.990	             0.14894	             0.14633	            45.46333	
               2.000	             0.14911	             0.14653	            45.75593	
               2.010	             0.14938	             0.14681	            46.07322	
               2.020	             0.14970	             0.14714	            46.40610	
               2.030	             0.15003	             0.14748	            46.74465	
               2.040	             0.15034	             0.14781	            47.07936	
