        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.47435	             0.47435	             0.00000	
               0.100	             0.62633	             0.62511	             9.75985	
               0.110	             0.64484	             0.64356	            11.05278	
               0.120	             0.68127	             0.67991	            12.73864	
               0.130	             0.64189	             0.64097	            13.00985	
               0.140	             0.66853	             0.66719	            14.58361	
               0.150	             0.64411	             0.64291	            15.05670	
               0.160	             0.75052	             0.74720	            18.66575	
               0.170	             0.78906	             0.78709	            20.89127	
               0.180	             0.85201	             0.84931	            23.86856	
               0.190	             0.89626	             0.89343	            26.50338	
               0.200	             0.98045	             0.97734	            30.51872	
               0.210	             0.91988	             0.91707	            30.06850	
               0.220	             0.76743	             0.76545	            26.29217	
               0.230	             0.81820	             0.81598	            29.30195	
               0.240	             0.91199	             0.90943	            34.07785	
               0.250	             0.99192	             0.98899	            38.60315	
               0.260	             1.03061	             1.02719	            41.69772	
               0.270	             1.06535	             1.06140	            44.74365	
               0.280	             1.07603	             1.07154	            46.84416	
               0.290	             1.14246	             1.13824	            51.53738	
               0.300	             1.20602	             1.20122	            56.26446	
               0.310	             1.22294	             1.21812	            58.95768	
               0.320	             1.17308	             1.16823	            58.36710	
               0.330	             1.15022	             1.14524	            59.00671	
               0.340	             1.17306	             1.16813	            62.00982	
               0.350	             1.22357	             1.21931	            66.63042	
               0.360	             1.29903	             1.29366	            72.71293	
               0.370	             1.30714	             1.30230	            75.23174	
               0.380	             1.29382	             1.28816	            76.42628	
               0.390	             1.31424	             1.30852	            79.67708	
               0.400	             1.35457	             1.34881	            84.23666	
               0.410	             1.36642	             1.36056	            87.09471	
               0.420	             1.36143	             1.35530	            88.87360	
               0.430	             1.37467	             1.36774	            91.82493	
               0.440	             1.38824	             1.38234	            94.96360	
               0.450	             1.38739	             1.38052	            96.99423	
               0.460	             1.37910	             1.37331	            98.63176	
               0.470	             1.38271	             1.37678	           101.03019	
               0.480	             1.38401	             1.37764	           103.24464	
               0.490	             1.35304	             1.34676	           103.03314	
               0.500	             1.30713	             1.30087	           101.55340	
               0.510	             1.27377	             1.26837	           100.99629	
               0.520	             1.24940	             1.24375	           100.97808	
               0.530	             1.21906	             1.21338	           100.40675	
               0.540	             1.17878	             1.17391	            98.97289	
               0.550	             1.13790	             1.13260	            97.25856	
               0.560	             1.10658	             1.10157	            96.31427	
               0.570	             1.08400	             1.07911	            96.03474	
               0.580	             1.06201	             1.05682	            95.70123	
               0.590	             1.03610	             1.03112	            94.98380	
               0.600	             1.00719	             1.00211	            93.87668	
               0.610	             0.97920	             0.97410	            92.77287	
               0.620	             0.95957	             0.95453	            92.39998	
               0.630	             0.95007	             0.94505	            92.95751	
               0.640	             0.94175	             0.93672	            93.60030	
               0.650	             0.92705	             0.92221	            93.59055	
               0.660	             0.90496	             0.90041	            92.78376	
               0.670	             0.87634	             0.87211	            91.22969	
               0.680	             0.83878	             0.83477	            88.62683	
               0.690	             0.78961	             0.78580	            84.65461	
               0.700	             0.73166	             0.72819	            79.58479	
               0.710	             0.67338	             0.67020	            74.29420	
               0.720	             0.62364	             0.62064	            69.76933	
               0.730	             0.58583	             0.58303	            66.45079	
               0.740	             0.55612	             0.55346	            63.94513	
               0.750	             0.52842	             0.52586	            61.57789	
               0.760	             0.49932	             0.49689	            58.96021	
               0.770	             0.46950	             0.46705	            56.14945	
               0.780	             0.44188	             0.43962	            53.53750	
               0.790	             0.42002	             0.41782	            51.53565	
               0.800	             0.40547	             0.40335	            50.38086	
               0.810	             0.39718	             0.39509	            49.96575	
               0.820	             0.39237	             0.39021	            49.95809	
               0.830	             0.38824	             0.38618	            50.04496	
               0.840	             0.38327	             0.38109	            49.97978	
               0.850	             0.37665	             0.37457	            49.70934	
               0.860	             0.36867	             0.36655	            49.21818	
               0.870	             0.35991	             0.35778	            48.59854	
               0.880	             0.35159	             0.34950	            48.02001	
               0.890	             0.34475	             0.34272	            47.62392	
               0.900	             0.34032	             0.33820	            47.52324	
               0.910	             0.33822	             0.33614	            47.75833	
               0.920	             0.33797	             0.33586	            48.24274	
               0.930	             0.33876	             0.33659	            48.87381	
               0.940	             0.33937	             0.33712	            49.47749	
               0.950	             0.33874	             0.33644	            49.90256	
               0.960	             0.33604	             0.33372	            50.01925	
               0.970	             0.33078	             0.32845	            49.74326	
               0.980	             0.32284	             0.32055	            49.04656	
               0.990	             0.31248	             0.31034	            47.96926	
               1.000	             0.30025	             0.29820	            46.55761	
               1.010	             0.28658	             0.28462	            44.88267	
               1.020	             0.27203	             0.27029	            43.04407	
               1.030	             0.25992	             0.25875	            41.61033	
               1.040	             0.26208	             0.26090	            42.36420	
               1.050	             0.26169	             0.26049	            42.70350	
               1.060	             0.25903	             0.25779	            42.66341	
               1.070	             0.25424	             0.25300	            42.26697	
               1.080	             0.24763	             0.24645	            41.55645	
               1.090	             0.23966	             0.23854	            40.59575	
               1.100	             0.23086	             0.22976	            39.46044	
               1.110	             0.22183	             0.22077	            38.26059	
               1.120	             0.21760	             0.21463	            37.53156	
               1.130	             0.21272	             0.21009	            37.06530	
               1.140	             0.20733	             0.20623	            36.70591	
               1.150	             0.20447	             0.20334	            36.51043	
               1.160	             0.20244	             0.20128	            36.45493	
               1.170	             0.20075	             0.19957	            36.45575	
               1.180	             0.19867	             0.19747	            36.38149	
               1.190	             0.19894	             0.19816	            36.81739	
               1.200	             0.19906	             0.19826	            37.14614	
               1.210	             0.19779	             0.19695	            37.20750	
               1.220	             0.19487	             0.19400	            36.95332	
               1.230	             0.19041	             0.18951	            36.39380	
               1.240	             0.18475	             0.18382	            35.58771	
               1.250	             0.17840	             0.17744	            34.62938	
               1.260	             0.17196	             0.17100	            33.64059	
               1.270	             0.16597	             0.16501	            32.71830	
               1.280	             0.16079	             0.15981	            31.93727	
               1.290	             0.15650	             0.15551	            31.32021	
               1.300	             0.15294	             0.15193	            30.83760	
               1.310	             0.14974	             0.14872	            30.41795	
               1.320	             0.14643	             0.14540	            29.96500	
               1.330	             0.14252	             0.14148	            29.37813	
               1.340	             0.13762	             0.13659	            28.57706	
               1.350	             0.13845	             0.13714	            28.90514	
               1.360	             0.14443	             0.14308	            30.38048	
               1.370	             0.15020	             0.14882	            31.83224	
               1.380	             0.15539	             0.15394	            33.16845	
               1.390	             0.15967	             0.15821	            34.33404	
               1.400	             0.16288	             0.16141	            35.28134	
               1.410	             0.16495	             0.16349	            35.99146	
               1.420	             0.16591	             0.16450	            36.47066	
               1.430	             0.16584	             0.16450	            36.72818	
               1.440	             0.16487	             0.16366	            36.79491	
               1.450	             0.16319	             0.16211	            36.70109	
               1.460	             0.16095	             0.16003	            36.47849	
               1.470	             0.15835	             0.15754	            36.15741	
               1.480	             0.15545	             0.15481	            35.77216	
               1.490	             0.15239	             0.15196	            35.35132	
               1.500	             0.14946	             0.14897	            34.88852	
               1.510	             0.14638	             0.14579	            34.37095	
               1.520	             0.14310	             0.14241	            33.79763	
               1.530	             0.13960	             0.13884	            33.16559	
               1.540	             0.13591	             0.13508	            32.48000	
               1.550	             0.13206	             0.13119	            31.74750	
               1.560	             0.12808	             0.12718	            30.97620	
