        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.33677	             0.33677	             0.00000	
               0.100	             0.49987	             0.49816	             7.77784	
               0.110	             0.56046	             0.55837	             9.58964	
               0.120	             0.54794	             0.54670	            10.24287	
               0.130	             0.58258	             0.58114	            11.79545	
               0.140	             0.47062	             0.46924	            10.25672	
               0.150	             0.49795	             0.49632	            11.62359	
               0.160	             0.58516	             0.58314	            14.56752	
               0.170	             0.59960	             0.59719	            15.85080	
               0.180	             0.61420	             0.61162	            17.18884	
               0.190	             0.60535	             0.60388	            17.91414	
               0.200	             0.82618	             0.82363	            25.71882	
               0.210	             0.98785	             0.98392	            32.26016	
               0.220	             0.97149	             0.96711	            33.21908	
               0.230	             0.88854	             0.88445	            31.76075	
               0.240	             0.67982	             0.67715	            25.37385	
               0.250	             0.63210	             0.62955	            24.57302	
               0.260	             0.70841	             0.70535	            28.63307	
               0.270	             0.82453	             0.82068	            34.59630	
               0.280	             0.85940	             0.85604	            37.42308	
               0.290	             0.77553	             0.77176	            34.94382	
               0.300	             0.87098	             0.86788	            40.65102	
               0.310	             0.97050	             0.96663	            46.78546	
               0.320	             0.98411	             0.97991	            48.95838	
               0.330	             0.96721	             0.96295	            49.61452	
               0.340	             0.90356	             0.89954	            47.75178	
               0.350	             0.82059	             0.81710	            44.65108	
               0.360	             0.77232	             0.76939	            43.24508	
               0.370	             0.79197	             0.78886	            45.57117	
               0.380	             0.81175	             0.80858	            47.97289	
               0.390	             0.79709	             0.79405	            48.35032	
               0.400	             0.76642	             0.76328	            47.66854	
               0.410	             0.76407	             0.76095	            48.71110	
               0.420	             0.85579	             0.85224	            55.88601	
               0.430	             0.99142	             0.98773	            66.31260	
               0.440	             1.08939	             1.08442	            74.49747	
               0.450	             1.13696	             1.13203	            79.53528	
               0.460	             1.19723	             1.19149	            85.57285	
               0.470	             1.28088	             1.27538	            93.58968	
               0.480	             1.33882	             1.33241	            99.85436	
               0.490	             1.39391	             1.38760	           106.15750	
               0.500	             1.43678	             1.42981	           111.61880	
               0.510	             1.42465	             1.41688	           112.82136	
               0.520	             1.36639	             1.35808	           110.26035	
               0.530	             1.28808	             1.28250	           106.12592	
               0.540	             1.18272	             1.17713	            99.24453	
               0.550	             1.08789	             1.08062	            92.79529	
               0.560	             0.98248	             0.97610	            85.34410	
               0.570	             0.86967	             0.86454	            76.93981	
               0.580	             0.77162	             0.76739	            69.49206	
               0.590	             0.66098	             0.65728	            60.54729	
               0.600	             0.60634	             0.60371	            56.55460	
               0.610	             0.57505	             0.57276	            54.55012	
               0.620	             0.54482	             0.54267	            52.53154	
               0.630	             0.51606	             0.51401	            50.55958	
               0.640	             0.48934	             0.48739	            48.70193	
               0.650	             0.46564	             0.46391	            47.07965	
               0.660	             0.44423	             0.44273	            45.62170	
               0.670	             0.42597	             0.42447	            44.40266	
               0.680	             0.42744	             0.42483	            45.10337	
               0.690	             0.41383	             0.41110	            44.28773	
               0.700	             0.39782	             0.39548	            43.22253	
               0.710	             0.38019	             0.37809	            41.91263	
               0.720	             0.36587	             0.36479	            41.00767	
               0.730	             0.35736	             0.35618	            40.59571	
               0.740	             0.34885	             0.34782	            40.18653	
               0.750	             0.34031	             0.33916	            39.71562	
               0.760	             0.33148	             0.33052	            39.21881	
               0.770	             0.32223	             0.32130	            38.62726	
               0.780	             0.31280	             0.31193	            37.98719	
               0.790	             0.30299	             0.30222	            37.27729	
               0.800	             0.29323	             0.29250	            36.53460	
               0.810	             0.31012	             0.30795	            38.94471	
               0.820	             0.32468	             0.32200	            41.22461	
               0.830	             0.33297	             0.33058	            42.83914	
               0.840	             0.33757	             0.33471	            43.89689	
               0.850	             0.34020	             0.33786	            44.83724	
               0.860	             0.34375	             0.34099	            45.78621	
               0.870	             0.34759	             0.34466	            46.81698	
               0.880	             0.35148	             0.34884	            47.92858	
               0.890	             0.35457	             0.35142	            48.83157	
               0.900	             0.35520	             0.35246	            49.52765	
               0.910	             0.35312	             0.35018	            49.75351	
               0.920	             0.34774	             0.34476	            49.52154	
               0.930	             0.33867	             0.33616	            48.81138	
               0.940	             0.33848	             0.33658	            49.39789	
               0.950	             0.34888	             0.34710	            51.48416	
               0.960	             0.35474	             0.35263	            52.85455	
               0.970	             0.35509	             0.35282	            53.43350	
               0.980	             0.34964	             0.34856	            53.33214	
               0.990	             0.36201	             0.36085	            55.77594	
               1.000	             0.37409	             0.37288	            58.21758	
               1.010	             0.38580	             0.38460	            60.64896	
               1.020	             0.39720	             0.39583	            63.03782	
               1.030	             0.40806	             0.40659	            65.38635	
               1.040	             0.41840	             0.41703	            67.71650	
               1.050	             0.42830	             0.42697	            69.99611	
               1.060	             0.43780	             0.43640	            72.22310	
               1.070	             0.44681	             0.44529	            74.39083	
               1.080	             0.45529	             0.45363	            76.49168	
               1.090	             0.46659	             0.46382	            78.93401	
               1.100	             0.47543	             0.47277	            81.19571	
               1.110	             0.48035	             0.47748	            82.74928	
               1.120	             0.48329	             0.48146	            84.19103	
               1.130	             0.48892	             0.48690	            85.90213	
               1.140	             0.49383	             0.49166	            87.50992	
               1.150	             0.50003	             0.49772	            89.36635	
               1.160	             0.50582	             0.50343	            91.17658	
               1.170	             0.51077	             0.50823	            92.83944	
               1.180	             0.51480	             0.51208	            94.34312	
