        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.49635	             0.49635	             0.00000	
               0.100	             1.26937	             1.26466	            19.74527	
               0.110	             1.49074	             1.48476	            25.49987	
               0.120	             1.88539	             1.87873	            35.19933	
               0.130	             1.89539	             1.88682	            38.29686	
               0.140	             1.63385	             1.62667	            35.55631	
               0.150	             1.56954	             1.56193	            36.57982	
               0.160	             1.39290	             1.38642	            34.63418	
               0.170	             1.47787	             1.47115	            39.04756	
               0.180	             1.51856	             1.51286	            42.51694	
               0.190	             1.41915	             1.41338	            41.92779	
               0.200	             1.40386	             1.39641	            43.60451	
               0.210	             1.37556	             1.36898	            44.88548	
               0.220	             1.36582	             1.35823	            46.65368	
               0.230	             1.02071	             1.01571	            36.47433	
               0.240	             1.04291	             1.03966	            38.95752	
               0.250	             1.13341	             1.12937	            44.08254	
               0.260	             1.22765	             1.22334	            49.66054	
               0.270	             1.28826	             1.28225	            54.05392	
               0.280	             1.32803	             1.32168	            57.77940	
               0.290	             1.40337	             1.39607	            63.21113	
               0.300	             1.38825	             1.38047	            64.66023	
               0.310	             1.25688	             1.25011	            60.50634	
               0.320	             1.18728	             1.18049	            58.97947	
               0.330	             1.38820	             1.38306	            71.25979	
               0.340	             1.53437	             1.52723	            81.07214	
               0.350	             1.48812	             1.48093	            80.92688	
               0.360	             1.33975	             1.33342	            74.94778	
               0.370	             1.17192	             1.16627	            67.37362	
               0.380	             1.00720	             1.00192	            59.44402	
               0.390	             1.03208	             1.02676	            62.52065	
               0.400	             1.01514	             1.01035	            63.09863	
               0.410	             0.95189	             0.94767	            60.66393	
               0.420	             0.88582	             0.88179	            57.82316	
               0.430	             0.85843	             0.85449	            57.36719	
               0.440	             0.88252	             0.87831	            60.33765	
               0.450	             0.92227	             0.91750	            64.46290	
               0.460	             0.94597	             0.94060	            67.55418	
               0.470	             0.94715	             0.94126	            69.07137	
               0.480	             0.92308	             0.91709	            68.72968	
               0.490	             0.89412	             0.89069	            68.14157	
               0.500	             0.95699	             0.95206	            74.32314	
