        Period [sec]	     Acc./Damp.=5.0%	  PS-Acc./Damp.=5.0%	  PS-Vel./Damp.=5.0%	
               0.000	             0.51456	             0.51456	             0.00000	
               0.100	             1.13207	             1.12781	            17.60868	
               0.110	             1.30644	             1.30024	            22.33082	
               0.120	             1.48960	             1.48333	            27.79129	
               0.130	             1.42046	             1.41576	            28.73571	
               0.140	             1.81520	             1.80810	            39.52219	
               0.150	             1.99698	             1.98890	            46.57943	
               0.160	             2.08378	             2.07592	            51.85851	
               0.170	             1.89625	             1.88715	            50.08919	
               0.180	             1.98558	             1.97811	            55.59192	
               0.190	             1.77370	             1.76585	            52.38392	
               0.200	             1.69749	             1.68996	            52.77118	
               0.210	             1.46112	             1.45368	            47.66242	
               0.220	             1.34239	             1.33595	            45.88838	
               0.230	             1.29657	             1.28906	            46.29050	
               0.240	             1.21982	             1.21407	            45.49303	
               0.250	             1.23291	             1.22727	            47.90389	
               0.260	             1.21551	             1.20813	            49.04289	
               0.270	             1.17306	             1.16518	            49.11861	
               0.280	             1.14207	             1.13496	            49.61673	
               0.290	             1.13627	             1.13010	            51.16864	
               0.300	             1.14167	             1.13476	            53.15140	
               0.310	             1.14580	             1.13910	            55.13333	
               0.320	             1.14547	             1.13883	            56.89799	
               0.330	             1.16105	             1.15493	            59.50555	
               0.340	             1.23204	             1.22448	            65.00126	
               0.350	             1.24420	             1.23730	            67.61329	
               0.360	             1.21847	             1.21205	            68.12611	
               0.370	             1.17071	             1.16467	            67.28103	
               0.380	             1.15356	             1.14604	            67.99423	
               0.390	             1.12591	             1.11831	            68.09510	
               0.400	             1.08354	             1.07597	            67.19665	
               0.410	             1.03339	             1.02647	            65.70791	
               0.420	             0.97996	             0.97307	            63.80898	
               0.430	             0.92247	             0.91591	            61.49084	
               0.440	             0.86216	             0.85605	            58.80858	
               0.450	             0.80099	             0.79561	            55.89895	
               0.460	             0.74168	             0.73708	            52.93721	
               0.470	             0.70697	             0.70253	            51.55254	
               0.480	             0.68579	             0.68166	            51.08575	
               0.490	             0.66425	             0.65957	            50.45954	
               0.500	             0.63808	             0.63374	            49.47300	
               0.510	             0.61166	             0.60805	            48.41706	
               0.520	             0.58968	             0.58478	            47.47759	
               0.530	             0.56721	             0.56320	            46.60421	
               0.540	             0.54359	             0.53882	            45.42871	
               0.550	             0.56390	             0.56203	            48.26292	
               0.560	             0.59660	             0.59407	            51.94138	
               0.570	             0.60567	             0.60317	            53.67912	
               0.580	             0.61487	             0.61260	            55.47500	
               0.590	             0.64103	             0.63857	            58.82303	
               0.600	             0.68139	             0.67892	            63.60069	
               0.610	             0.72109	             0.71838	            68.41836	
               0.620	             0.74890	             0.74569	            72.18335	
               0.630	             0.76061	             0.75728	            74.48810	
               0.640	             0.75924	             0.75590	            75.53224	
               0.650	             0.75194	             0.74869	            75.98079	
               0.660	             0.74962	             0.74567	            76.83839	
               0.670	             0.77714	             0.77267	            80.82742	
               0.680	             0.79940	             0.79475	            84.37820	
               0.690	             0.81550	             0.81109	            87.37908	
               0.700	             0.81889	             0.81399	            88.96294	
               0.710	             0.80743	             0.80272	            88.98391	
               0.720	             0.78014	             0.77505	            87.12708	
               0.730	             0.74079	             0.73669	            83.96511	
               0.740	             0.69958	             0.69554	            80.36083	
               0.750	             0.67078	             0.66753	            78.16684	
               0.760	             0.65402	             0.65187	            77.35082	
               0.770	             0.64611	             0.64346	            77.35681	
               0.780	             0.64409	             0.64100	            78.06263	
               0.790	             0.64519	             0.64172	            79.15149	
               0.800	             0.64578	             0.64206	            80.19601	
               0.810	             0.64252	             0.63865	            80.76742	
               0.820	             0.63300	             0.62905	            80.53515	
               0.830	             0.61618	             0.61284	            79.41669	
               0.840	             0.60081	             0.59796	            78.42279	
               0.850	             0.58085	             0.57793	            76.69789	
               0.860	             0.55693	             0.55407	            74.39702	
               0.870	             0.53091	             0.52794	            71.71280	
               0.880	             0.50469	             0.50149	            68.90245	
               0.890	             0.47901	             0.47642	            66.20202	
               0.900	             0.45630	             0.45339	            63.70931	
               0.910	             0.43637	             0.43358	            61.60341	
               0.920	             0.41979	             0.41744	            59.96157	
               0.930	             0.40705	             0.40457	            58.74448	
               0.940	             0.39726	             0.39456	            57.90682	
               0.950	             0.38958	             0.38716	            57.42479	
               0.960	             0.38311	             0.38094	            57.09723	
               0.970	             0.37741	             0.37492	            56.78040	
               0.980	             0.37102	             0.36895	            56.45281	
               0.990	             0.36415	             0.36179	            55.92137	
               1.000	             0.35457	             0.35270	            55.06725	
               1.010	             0.34490	             0.34287	            54.06877	
               1.020	             0.33491	             0.33243	            52.94004	
               1.030	             0.32341	             0.32132	            51.67272	
               1.040	             0.31066	             0.30890	            50.15817	
               1.050	             0.29759	             0.29542	            48.43127	
               1.060	             0.28433	             0.28174	            46.62687	
               1.070	             0.27029	             0.26796	            44.76553	
               1.080	             0.25572	             0.25360	            42.76262	
               1.090	             0.24087	             0.23892	            40.66076	
               1.100	             0.22606	             0.22424	            38.51139	
               1.110	             0.21163	             0.20989	            36.37543	
               1.120	             0.19796	             0.19628	            34.32207	
               1.130	             0.18961	             0.18752	            33.08433	
               1.140	             0.18301	             0.18108	            32.23024	
               1.150	             0.17481	             0.17302	            31.06549	
               1.160	             0.16510	             0.16343	            29.59878	
               1.170	             0.15792	             0.15710	            28.69794	
               1.180	             0.15721	             0.15623	            28.78271	
               1.190	             0.15779	             0.15696	            29.16256	
               1.200	             0.16363	             0.16280	            30.50150	
               1.210	             0.16936	             0.16839	            31.81177	
               1.220	             0.17437	             0.17340	            33.02893	
               1.230	             0.17860	             0.17752	            34.09205	
               1.240	             0.18307	             0.18165	            35.16744	
               1.250	             0.19066	             0.18921	            36.92757	
               1.260	             0.19763	             0.19615	            38.58669	
               1.270	             0.20352	             0.20200	            40.05394	
               1.280	             0.20797	             0.20641	            41.24999	
               1.290	             0.21151	             0.20964	            42.22303	
               1.300	             0.21342	             0.21151	            42.92958	
               1.310	             0.21335	             0.21139	            43.23553	
               1.320	             0.21166	             0.20976	            43.23074	
               1.330	             0.21425	             0.21303	            44.23675	
               1.340	             0.21732	             0.21581	            45.15040	
               1.350	             0.21935	             0.21776	            45.89845	
               1.360	             0.22029	             0.21861	            46.41947	
               1.370	             0.22083	             0.21908	            46.86137	
               1.380	             0.22067	             0.21884	            47.15111	
               1.390	             0.21957	             0.21764	            47.23323	
               1.400	             0.21763	             0.21598	            47.21007	
               1.410	             0.21568	             0.21394	            47.09764	
               1.420	             0.21294	             0.21111	            46.80482	
               1.430	             0.20950	             0.20791	            46.41848	
               1.440	             0.20589	             0.20448	            45.97283	
               1.450	             0.20195	             0.20073	            45.44336	
               1.460	             0.19828	             0.19747	            45.01363	
               1.470	             0.19527	             0.19427	            44.58733	
               1.480	             0.19173	             0.19064	            44.05186	
               1.490	             0.18775	             0.18657	            43.40222	
               1.500	             0.18754	             0.18686	            43.76087	
               1.510	             0.18915	             0.18830	            44.39315	
               1.520	             0.18989	             0.18897	            44.84663	
               1.530	             0.19036	             0.18941	            45.24606	
               1.540	             0.19018	             0.18909	            45.46424	
               1.550	             0.18968	             0.18811	            45.52361	
               1.560	             0.18879	             0.18709	            45.56945	
               1.570	             0.18736	             0.18554	            45.48131	
               1.580	             0.18548	             0.18355	            45.27998	
               1.590	             0.18326	             0.18122	            44.98690	
               1.600	             0.18077	             0.17863	            44.62359	
               1.610	             0.17812	             0.17588	            44.21108	
               1.620	             0.17553	             0.17333	            43.84127	
               1.630	             0.17307	             0.17080	            43.46681	
               1.640	             0.17062	             0.16828	            43.08976	
               1.650	             0.16824	             0.16585	            42.72564	
               1.660	             0.16599	             0.16355	            42.38795	
               1.670	             0.16391	             0.16142	            42.08798	
               1.680	             0.16203	             0.15949	            41.83478	
               1.690	             0.16037	             0.15779	            41.63520	
               1.700	             0.15895	             0.15633	            41.49395	
               1.710	             0.15778	             0.15512	            41.41372	
               1.720	             0.15685	             0.15415	            41.39532	
               1.730	             0.15615	             0.15341	            41.43788	
               1.740	             0.15569	             0.15290	            41.53901	
               1.750	             0.15544	             0.15260	            41.69503	
               1.760	             0.15537	             0.15248	            41.90112	
               1.770	             0.15548	             0.15253	            42.15155	
               1.780	             0.15572	             0.15282	            42.47000	
               1.790	             0.15608	             0.15327	            42.83549	
               1.800	             0.15653	             0.15382	            43.22759	
               1.810	             0.15703	             0.15442	            43.63872	
               1.820	             0.15757	             0.15506	            44.06105	
               1.830	             0.15811	             0.15570	            44.48658	
               1.840	             0.15876	             0.15632	            44.90725	
               1.850	             0.15944	             0.15688	            45.31498	
               1.860	             0.16005	             0.15737	            45.70182	
               1.870	             0.16057	             0.15776	            46.05994	
               1.880	             0.16097	             0.15802	            46.38172	
               1.890	             0.16122	             0.15838	            46.73666	
               1.900	             0.16131	             0.15862	            47.05495	
               1.910	             0.16122	             0.15868	            47.31903	
               1.920	             0.16092	             0.15853	            47.52231	
               1.930	             0.16056	             0.15816	            47.65861	
               1.940	             0.16013	             0.15755	            47.72218	
               1.950	             0.15986	             0.15877	            48.33863	
               1.960	             0.16134	             0.16012	            48.99826	
               1.970	             0.16266	             0.16130	            49.61134	
               1.980	             0.16457	             0.16368	            50.59976	
               1.990	             0.16710	             0.16608	            51.60083	
               2.000	             0.16948	             0.16851	            52.61958	
               2.010	             0.17184	             0.17082	            53.60749	
               2.020	             0.17413	             0.17297	            54.55168	
               2.030	             0.17626	             0.17496	            55.45144	
               2.040	             0.17820	             0.17698	            56.36952	
               2.050	             0.17996	             0.17891	            57.26207	
               2.060	             0.18152	             0.18094	            58.19638	
               2.070	             0.18334	             0.18289	            59.11004	
               2.080	             0.18547	             0.18486	            60.03411	
               2.090	             0.18740	             0.18671	            60.92618	
               2.100	             0.18912	             0.18851	            61.80726	
               2.110	             0.19079	             0.19023	            62.66879	
               2.120	             0.19259	             0.19192	            63.52470	
               2.130	             0.19634	             0.19566	            65.06773	
               2.140	             0.20006	             0.19920	            66.55561	
               2.150	             0.20352	             0.20251	            67.97749	
               2.160	             0.20675	             0.20572	            69.37669	
               2.170	             0.20988	             0.20860	            70.67340	
               2.180	             0.21267	             0.21126	            71.90486	
               2.190	             0.21513	             0.21379	            73.09940	
               2.200	             0.21748	             0.21597	            74.18215	
               2.210	             0.21958	             0.21793	            75.19582	
               2.220	             0.22133	             0.21975	            76.16789	
               2.230	             0.22275	             0.22122	            77.02250	
               2.240	             0.22415	             0.22256	            77.83514	
               2.250	             0.22520	             0.22367	            78.57528	
               2.260	             0.22601	             0.22444	            79.19582	
               2.270	             0.22672	             0.22518	            79.80779	
               2.280	             0.22710	             0.22562	            80.31456	
               2.290	             0.22744	             0.22572	            80.70279	
               2.300	             0.22750	             0.22576	            81.06988	
               2.310	             0.22724	             0.22555	            81.34913	
               2.320	             0.22691	             0.22504	            81.51368	
               2.330	             0.22637	             0.22427	            81.58548	
               2.340	             0.22554	             0.22348	            81.64926	
               2.350	             0.22442	             0.22241	            81.60443	
               2.360	             0.22313	             0.22106	            81.45414	
               2.370	             0.22179	             0.21952	            81.22993	
               2.380	             0.22019	             0.21797	            80.99420	
               2.390	             0.21834	             0.21616	            80.66145	
               2.400	             0.21627	             0.21412	            80.23574	
               2.410	             0.21417	             0.21308	            80.17844	
               2.420	             0.21397	             0.21284	            80.41767	
               2.430	             0.21393	             0.21251	            80.62572	
               2.440	             0.21357	             0.21181	            80.69284	
               2.450	             0.21286	             0.21077	            80.62364	
               2.460	             0.21182	             0.20974	            80.55817	
               2.470	             0.21045	             0.20839	            80.36443	
               2.480	             0.20899	             0.20673	            80.04728	
               2.490	             0.20735	             0.20490	            79.65997	
               2.500	             0.20544	             0.20300	            79.23847	
               2.510	             0.20326	             0.20084	            78.70772	
               2.520	             0.20085	             0.19843	            78.07394	
               2.530	             0.19827	             0.19596	            77.40495	
               2.540	             0.19570	             0.19340	            76.69623	
               2.550	             0.19293	             0.19064	            75.89940	
               2.560	             0.18999	             0.18770	            75.02089	
               2.570	             0.18702	             0.18469	            74.10740	
               2.580	             0.18401	             0.18168	            73.18291	
               2.590	             0.18085	             0.17852	            72.19140	
               2.600	             0.17757	             0.17549	            71.23931	
               2.610	             0.17419	             0.17267	            70.36335	
               2.620	             0.17071	             0.16982	            69.46628	
               2.630	             0.16782	             0.16704	            68.58891	
               2.640	             0.16498	             0.16419	            67.67579	
               2.650	             0.16223	             0.16142	            66.78897	
               2.660	             0.15939	             0.15863	            65.88011	
               2.670	             0.15665	             0.15592	            64.99721	
               2.680	             0.15463	             0.15377	            64.34333	
               2.690	             0.15289	             0.15201	            63.84479	
               2.700	             0.15121	             0.15019	            63.31194	
               2.710	             0.14947	             0.14830	            62.74810	
               2.720	             0.14767	             0.14640	            62.17164	
               2.730	             0.14581	             0.14453	            61.60626	
               2.740	             0.14392	             0.14263	            61.01683	
               2.750	             0.14199	             0.14069	            60.40642	
               2.760	             0.14003	             0.13872	            59.77804	
               2.770	             0.13807	             0.13676	            59.14644	
               2.780	             0.13617	             0.13485	            58.53071	
               2.790	             0.13425	             0.13293	            57.90299	
               2.800	             0.13233	             0.13099	            57.26598	
               2.810	             0.13040	             0.12908	            56.63108	
               2.820	             0.12848	             0.12722	            56.01552	
               2.830	             0.12657	             0.12537	            55.39587	
               2.840	             0.12467	             0.12353	            54.77449	
               2.850	             0.12279	             0.12173	            54.16653	
               2.860	             0.12094	             0.11998	            53.57386	
               2.870	             0.11911	             0.11824	            52.98390	
               2.880	             0.11731	             0.11653	            52.39865	
               2.890	             0.11557	             0.11484	            51.82002	
               2.900	             0.11389	             0.11319	            51.24982	
               2.910	             0.11226	             0.11157	            50.68975	
               2.920	             0.11071	             0.11001	            50.15307	
               2.930	             0.10920	             0.10849	            49.63252	
               2.940	             0.10773	             0.10702	            49.12504	
               2.950	             0.10630	             0.10559	            48.63197	
               2.960	             0.10491	             0.10420	            48.15459	
               2.970	             0.10356	             0.10285	            47.69404	
               2.980	             0.10227	             0.10156	            47.25137	
               2.990	             0.10102	             0.10031	            46.82754	
               3.000	             0.09982	             0.09911	            46.42340	
               3.010	             0.09867	             0.09797	            46.03972	
               3.020	             0.09758	             0.09687	            45.67714	
               3.030	             0.09654	             0.09583	            45.33625	
               3.040	             0.09555	             0.09485	            45.01751	
               3.050	             0.09461	             0.09391	            44.72133	
               3.060	             0.09373	             0.09303	            44.44799	
               3.070	             0.09290	             0.09221	            44.19773	
               3.080	             0.09213	             0.09144	            43.97068	
               3.090	             0.09140	             0.09072	            43.76689	
               3.100	             0.09073	             0.09005	            43.58636	
               3.110	             0.09012	             0.08944	            43.42900	
               3.120	             0.08955	             0.08888	            43.29464	
               3.130	             0.08903	             0.08836	            43.18307	
               3.140	             0.08857	             0.08790	            43.09400	
               3.150	             0.08815	             0.08749	            43.02708	
               3.160	             0.08777	             0.08712	            42.98191	
               3.170	             0.08745	             0.08680	            42.95803	
               3.180	             0.08717	             0.08652	            42.95493	
               3.190	             0.08693	             0.08628	            42.97208	
               3.200	             0.08673	             0.08608	            43.00886	
               3.210	             0.08657	             0.08593	            43.06464	
               3.220	             0.08645	             0.08581	            43.13875	
               3.230	             0.08636	             0.08572	            43.23048	
               3.240	             0.08631	             0.08567	            43.33909	
               3.250	             0.08629	             0.08566	            43.46383	
               3.260	             0.08630	             0.08567	            43.60389	
               3.270	             0.08634	             0.08571	            43.75848	
               3.280	             0.08641	             0.08578	            43.92676	
               3.290	             0.08651	             0.08587	            44.10790	
               3.300	             0.08662	             0.08598	            44.30103	
               3.310	             0.08676	             0.08612	            44.50529	
               3.320	             0.08692	             0.08627	            44.71981	
               3.330	             0.08710	             0.08644	            44.94371	
               3.340	             0.08729	             0.08663	            45.17612	
               3.350	             0.08750	             0.08683	            45.41616	
               3.360	             0.08771	             0.08704	            45.66295	
               3.370	             0.08794	             0.08727	            45.91563	
               3.380	             0.08818	             0.08750	            46.17332	
               3.390	             0.08843	             0.08773	            46.43518	
               3.400	             0.08869	             0.08797	            46.70037	
               3.410	             0.08896	             0.08822	            46.97094	
               3.420	             0.08923	             0.08848	            47.24804	
               3.430	             0.08951	             0.08875	            47.52651	
               3.440	             0.08978	             0.08901	            47.80556	
               3.450	             0.09005	             0.08927	            48.08443	
               3.460	             0.09032	             0.08952	            48.36235	
               3.470	             0.09059	             0.08978	            48.63860	
               3.480	             0.09085	             0.09002	            48.91247	
               3.490	             0.09111	             0.09026	            49.18325	
               3.500	             0.09135	             0.09049	            49.45029	
               3.510	             0.09159	             0.09071	            49.71293	
               3.520	             0.09182	             0.09092	            49.97057	
               3.530	             0.09204	             0.09114	            50.23383	
               3.540	             0.09225	             0.09136	            50.49291	
               3.550	             0.09244	             0.09155	            50.74565	
               3.560	             0.09263	             0.09174	            50.99150	
               3.570	             0.09279	             0.09191	            51.22995	
               3.580	             0.09295	             0.09211	            51.48657	
               3.590	             0.09308	             0.09231	            51.73856	
               3.600	             0.09321	             0.09251	            51.99540	
               3.610	             0.09333	             0.09269	            52.24594	
               3.620	             0.09344	             0.09287	            52.48777	
               3.630	             0.09354	             0.09302	            52.72047	
               3.640	             0.09362	             0.09316	            52.94368	
               3.650	             0.09379	             0.09328	            53.15705	
               3.660	             0.09395	             0.09338	            53.36024	
               3.670	             0.09408	             0.09346	            53.55297	
               3.680	             0.09420	             0.09353	            53.74040	
               3.690	             0.09431	             0.09361	            53.92878	
               3.700	             0.09439	             0.09366	            54.10611	
               3.710	             0.09445	             0.09369	            54.27216	
               3.720	             0.09449	             0.09371	            54.42674	
               3.730	             0.09452	             0.09370	            54.56969	
               3.740	             0.09454	             0.09368	            54.70085	
               3.750	             0.09456	             0.09363	            54.82010	
               3.760	             0.09455	             0.09356	            54.92733	
               3.770	             0.09453	             0.09348	            55.02246	
               3.780	             0.09448	             0.09337	            55.10544	
               3.790	             0.09442	             0.09325	            55.18243	
               3.800	             0.09433	             0.09314	            55.25973	
               3.810	             0.09423	             0.09300	            55.32480	
               3.820	             0.09410	             0.09285	            55.37762	
               3.830	             0.09396	             0.09268	            55.41823	
